0 | 1 | 105 
1 | 1 | 104 
2 | 1 | 100 
3 | 2 | 100 102 
4 | 1 | 104 
5 | 6 | 105 102 101 100 104 103 
6 | 1 | 105 
7 | 1 | 104 
8 | 1 | 104 
9 | 1 | 105 
10 | 1 | 103 
11 | 2 | 102 104 
12 | 1 | 104 
13 | 1 | 105 
14 | 1 | 100 
15 | 2 | 104 102 
16 | 1 | 101 
17 | 1 | 104 
18 | 1 | 103 
19 | 2 | 105 101 
20 | 2 | 100 101 
21 | 1 | 102 
22 | 1 | 103 
23 | 2 | 103 104 
24 | 1 | 102 
25 | 1 | 101 
26 | 1 | 103 
27 | 1 | 100 
28 | 1 | 105 
29 | 1 | 103 
30 | 1 | 102 
31 | 1 | 103 
32 | 1 | 103 
33 | 1 | 102 
34 | 1 | 100 
35 | 2 | 104 102 
36 | 2 | 105 101 
37 | 1 | 101 
38 | 1 | 105 
39 | 1 | 102 
40 | 1 | 101 
41 | 2 | 103 105 
42 | 1 | 102 
43 | 1 | 102 
44 | 2 | 104 103 
45 | 1 | 105 
46 | 1 | 103 
47 | 2 | 104 103 
48 | 1 | 102 
49 | 1 | 104 
50 | 2 | 105 101 
51 | 2 | 104 102 
52 | 1 | 102 
53 | 1 | 102 
54 | 1 | 104 
55 | 2 | 103 105 
56 | 1 | 100 
57 | 1 | 105 
58 | 1 | 102 
59 | 1 | 102 
60 | 1 | 101 
61 | 1 | 103 
62 | 1 | 102 
63 | 1 | 102 
64 | 1 | 101 
65 | 1 | 103 
66 | 1 | 105 
67 | 1 | 104 
68 | 2 | 100 101 
69 | 2 | 104 102 
70 | 1 | 100 
71 | 2 | 105 103 
72 | 2 | 102 104 
73 | 1 | 101 
74 | 1 | 104 
75 | 2 | 101 105 
76 | 1 | 104 
77 | 1 | 102 
78 | 1 | 102 
79 | 1 | 101 
80 | 2 | 104 103 
81 | 1 | 102 
82 | 4 | 105 103 104 102 
83 | 1 | 102 
84 | 1 | 102 
85 | 2 | 105 101 
86 | 1 | 105 
87 | 1 | 103 
88 | 1 | 100 
89 | 1 | 103 
90 | 1 | 101 
91 | 2 | 103 104 
92 | 1 | 104 
93 | 1 | 104 
94 | 1 | 103 
95 | 1 | 103 
96 | 1 | 104 
97 | 5 | 105 101 100 102 104 
98 | 1 | 104 
99 | 1 | 103 
100 | 1 | 100 
101 | 1 | 101 
102 | 1 | 102 
103 | 1 | 103 
104 | 1 | 104 
105 | 1 | 105 
0.81
