0 | 4
1 | 3
2 | 2
3 | 3
4 | 3
5 | 3
6 | 3
7 | 3
8 | 1
9 | 2
10 | 3
11 | 3
12 | 3
13 | 3
14 | 2
15 | 3
16 | 3
17 | 3
18 | 2
19 | 4
20 | 3
21 | 2
22 | 3
23 | 3
24 | 3
25 | 3
26 | 3
27 | 2
28 | 3
29 | 3
30 | 3
31 | 3
32 | 4
33 | 2
34 | 3
35 | 3
36 | 3
37 | 3
38 | 3
39 | 3
40 | 3
41 | 2
42 | 3
43 | 3
44 | 3
45 | 3
46 | 2
47 | 3
48 | 3
49 | 2
50 | 2
51 | 3
52 | 3
53 | 3
54 | 3
55 | 3
56 | 3
57 | 2
58 | 3
59 | 3
60 | 3
61 | 2
62 | 4
63 | 2
64 | 3
65 | 4
66 | 3
67 | 3
68 | 4
69 | 2
70 | 3
71 | 3
72 | 2
73 | 3
74 | 3
75 | 3
76 | 3
77 | 2
78 | 4
79 | 2
80 | 3
81 | 4
82 | 4
83 | 3
84 | 3
85 | 3
86 | 3
87 | 4
88 | 3
89 | 2
90 | 4
91 | 3
92 | 2
93 | 3
94 | 4
95 | 3
96 | 3
97 | 3
98 | 4
99 | 4
100 | 2
101 | 2
102 | 2
103 | 2
0.01
