0 | 1 | 54 
1 | 1 | 52 
2 | 4 | 50 55 53 52 
3 | 3 | 53 55 50 
4 | 2 | 52 50 
5 | 1 | 50 
6 | 3 | 51 53 55 
7 | 1 | 50 
8 | 1 | 52 
9 | 1 | 55 
10 | 1 | 50 
11 | 3 | 50 53 55 
12 | 1 | 55 
13 | 1 | 50 
14 | 4 | 50 55 53 52 
15 | 1 | 52 
16 | 1 | 50 
17 | 1 | 52 
18 | 1 | 52 
19 | 1 | 52 
20 | 1 | 50 
21 | 2 | 54 51 
22 | 2 | 50 54 
23 | 1 | 52 
24 | 1 | 55 
25 | 2 | 51 54 
26 | 2 | 52 50 
27 | 1 | 55 
28 | 1 | 50 
29 | 2 | 50 52 
30 | 2 | 52 50 
31 | 4 | 55 50 52 53 
32 | 2 | 52 50 
33 | 1 | 50 
34 | 1 | 55 
35 | 3 | 53 51 55 
36 | 2 | 52 50 
37 | 1 | 52 
38 | 2 | 53 55 
39 | 4 | 55 52 50 54 
40 | 1 | 52 
41 | 1 | 55 
42 | 1 | 55 
43 | 1 | 55 
44 | 1 | 55 
45 | 1 | 51 
46 | 1 | 52 
47 | 2 | 53 54 
48 | 3 | 53 50 55 
49 | 1 | 52 
50 | 1 | 50 
51 | 1 | 51 
52 | 1 | 52 
53 | 1 | 53 
54 | 1 | 54 
55 | 1 | 55 
0.72
