storehouse,武汉蔡甸火神山医院,武汉雷神山医院
武汉市红十字会,28977,30408
武汉国际博览中心,24443,15519
慈善总会联合仓库,59015,57212
武汉市江岸区应急管理局,29203,34309
武汉市汉阳区应急管理局,17676,22275
武汉市新洲区应急管理局,89937,84905
武汉市蔡甸区应急管理局,9530,35938
黄陂区应急管理局,59835,63960
武汉市江夏区应急管理局,44812,12686
洪山区应急管理局,33988,10925
武汉市青山区应急管理局,39184,28478
武汉市江汉区应急管理局,28077,29508
武汉市东西湖区应急管理局,19943,35744
武汉市武昌区应急管理局,30613,18959
武汉市硚口区应急管理局,19406,26463
武汉市经济技术开发区(汉南区)应急管理局,12303,19886
