storehouse,武汉蔡甸火神山医院,武汉雷神山医院
武汉市红十字会,2720,2457
武汉国际博览中心,2199,1255
慈善总会联合仓库,4223,4010
武汉市江岸区应急管理局,2870,2557
武汉市汉阳区应急管理局,1874,1690
武汉市新洲区应急管理局,7030,6496
武汉市蔡甸区应急管理局,1064,3014
黄陂区应急管理局,4596,4633
武汉市江夏区应急管理局,3418,1637
洪山区应急管理局,2639,1036
武汉市青山区应急管理局,3600,2832
武汉市江汉区应急管理局,2583,2439
武汉市东西湖区应急管理局,2183,2569
武汉市武昌区应急管理局,2548,1560
武汉市硚口区应急管理局,2598,2026
武汉市经济技术开发区(汉南区)应急管理局,1339,1489
